# {"t_start": 1608789182.3069544} 
r,l,t
26.858595,800,5654.79334
24.87881,800,5660.432279
21.079178,800,5669.014604
24.66455,800,5670.39203
8.919182,211,5692.624146
22.593273,513,5698.995409
15.54363,402,5701.55693
19.454773,674,5714.314508
22.965582,518,5724.26413
27.197763,664,5727.032477
13.753691,332,5729.599587
11.623559,258,5735.969027
22.641638,527,5738.245392
29.897806,659,5746.478786
34.72721,753,5753.464351
26.053038,800,5786.042018
15.031403,501,5786.718809
29.19837,800,5813.206335
29.578255,800,5815.933931
17.042025,593,5822.518145
31.344149,800,5823.292126
23.85328,800,5825.632574
22.891224,490,5828.719459
21.958664,519,5831.487836
25.234568,800,5834.720848
14.766574,340,5875.782104
16.971754,438,5879.223069
26.871185,581,5891.133241
28.8022,600,5894.948451
37.077305,800,5901.511075
24.005196,800,5904.123452
25.882715,800,5917.24888
36.510403,800,5920.62008
13.995462,461,5961.339861
22.280966,800,5962.877843
23.798063,800,5966.374996
29.690355,800,5978.191307
23.88283,800,5982.011361
31.086304,800,5988.494722
24.874086,800,6003.983327
29.142237,800,6007.366813
23.561232,800,6048.035979
33.097122,800,6049.568032
27.33809,800,6053.207222
27.252663,800,6065.147362
20.339714,800,6068.879398
25.34783,800,6075.264197
19.730064,456,6087.400286
29.82711,800,6090.44741
37.263573,800,6093.736342
30.515545,643,6102.739698
36.352825,800,6138.323423
18.275326,424,6142.337218
34.08038,800,6151.115984
30.429558,800,6154.959597
23.276054,523,6157.234476
22.09226,755,6158.490039
10.737213,246,6164.400993
20.76285,449,6177.44711
29.743467,800,6178.068428
21.077278,800,6189.883365
16.109047,417,6193.473794
11.530499,309,6223.037289
16.366673,624,6229.487218
19.987022,463,6236.112141
29.313007,800,6239.345023
34.337994,800,6243.049944
17.502756,415,6248.284384
25.769428,800,6251.948886
16.756847,358,6268.965588
32.97799,800,6276.639618
19.062162,561,6302.999628
24.781492,800,6310.118104
28.128319,791,6315.755798
25.415365,546,6317.189341
22.21701,789,6328.645932
12.422829,320,6330.480645
27.001966,800,6335.304458
16.469793,481,6337.743068
38.409203,800,6356.037732
29.12516,699,6387.298461
8.133116,188,6390.364565
38.77868,800,6401.198569
29.611134,800,6402.571423
11.93437,255,6411.845667
34.213074,800,6414.695398
33.6615,800,6416.660577
33.063267,729,6417.880775
39.18797,800,6421.993069
10.4717245,253,6437.642662
30.178823,732,6449.461912
33.392967,800,6487.329783
36.813747,800,6488.798684
36.35698,800,6497.899315
31.00763,800,6500.85535
28.494343,800,6503.438575
19.444956,800,6507.619358
21.210434,703,6515.897113
13.107839,331,6517.715535
27.630268,615,6521.237537
10.96939,248,6525.548004
10.893042,355,6532.514224
11.407475,248,6565.533759
23.561466,800,6575.884254
31.80943,800,6585.867475
26.26491,646,6590.193192
34.188618,800,6594.987316
38.84519,800,6604.515037
28.08522,800,6607.914354
26.81987,800,6618.491568
33.57141,745,6647.455992
29.791311,671,6652.079731
15.189944,433,6660.832965
31.074198,683,6664.087142
6.450598,193,6665.298199
24.024967,800,6678.996719
38.35718,800,6683.67909
24.920174,800,6695.991897
32.69294,800,6706.560016
37.253716,800,6738.897865
32.504475,800,6747.635691
25.366707,800,6750.616062
36.257847,800,6751.64723
21.553293,800,6764.469855
35.301006,800,6768.920813
28.809736,651,6769.822033
16.508463,395,6781.263161
25.747923,576,6787.725651
23.439205,800,6793.025937
25.565786,800,6836.37257
36.45741,800,6837.442826
38.31593,800,6850.616892
20.930166,800,6855.499665
22.950092,800,6856.424302
34.83657,796,6867.56642
21.30928,800,6874.39186
26.535381,762,6876.735271
22.06043,592,6887.642859
35.165237,760,6920.265035
14.988459,341,6934.577772
25.442759,800,6937.241767
33.333595,800,6941.969483
24.999563,800,6942.908873
14.64509,350,6950.012477
29.943108,800,6954.34388
35.106968,800,6961.166575
10.556114,233,6962.659705
33.983215,800,6964.054201
8.025818,193,6971.397804
16.084005,571,7005.698132
12.685547,284,7007.032076
8.457228,192,7023.223693
32.320362,800,7023.223733
24.128796,800,7030.380883
35.00476,800,7037.443022
22.284197,682,7039.164212
30.376503,800,7049.582123
11.491229,288,7054.893345
34.50328,800,7058.449309
33.17387,800,7093.116293
16.179884,374,7105.336725
23.716751,777,7108.054516
25.424932,800,7110.549252
21.226614,800,7124.290555
32.326332,800,7125.716754
22.994625,678,7134.844105
5.544633,134,7136.337903
33.41366,800,7137.522452
17.438545,375,7138.796403
30.316652,672,7169.874249
29.557163,765,7193.4948
27.985666,800,7195.030559
22.35456,800,7211.383963
26.751081,756,7219.329301
35.146008,800,7220.89723
23.80027,800,7222.399556
35.269638,800,7223.611266
33.78276,800,7255.980431
34.862408,800,7279.607343
24.686377,800,7281.120733
20.530731,472,7282.291433
31.86542,800,7298.102492
28.348337,696,7298.931936
30.57579,800,7306.650991
29.012928,800,7309.124953
25.17853,800,7342.039143
22.586214,800,7366.074022
28.482197,800,7367.539695
20.934835,800,7368.691872
17.145538,614,7377.706629
35.41754,800,7385.22191
27.012146,800,7386.034651
9.418041,267,7390.89331
11.643001,281,7393.13075
30.27689,800,7396.596607
10.723462,270,7409.139422
22.810713,800,7430.109746
22.885601,800,7454.256157
20.704395,800,7464.779516
29.432577,656,7465.889506
31.42743,800,7472.936771
24.307465,800,7479.883072
9.972015,320,7481.849485
36.130096,800,7483.955618
25.619081,800,7496.500269
30.517868,800,7517.104561
17.46501,402,7526.751645
26.652565,633,7538.742537
9.2309265,314,7542.247218
10.161662,240,7546.907292
36.130955,800,7552.689995
21.637024,634,7555.551539
20.849909,800,7567.680947
28.482914,800,7571.045447
30.180622,800,7603.778008
20.571918,459,7605.384073
10.392694,243,7610.985304
25.107824,800,7625.954871
35.9038,800,7629.552715
30.35563,800,7639.388278
28.041052,800,7641.982256
16.108454,432,7647.1834
27.727425,800,7654.431129
24.10008,629,7657.625064
12.375696,332,7669.860231
37.169456,800,7692.268521
28.452486,800,7712.232187
24.58518,800,7715.848398
35.716194,800,7726.013494
